id,uri,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
6961,https://open.spotify.com/track/05jpevG61pHW3yyIUvJwGs,subbura,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,11,13,0.512,0.802,5,-7.126,0,0.507,0.517,0.0,0.307,0.521,123.169,201040,4,indie,652.0
6962,https://open.spotify.com/track/6NM6U2b660V5oI42nUNNwf,bénéfices,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,12,13,0.838,0.7170000000000001,11,-6.191,1,0.056,0.461,0.00185,0.133,0.351,104.997,207960,4,indie,652.0
6963,https://open.spotify.com/track/2ei2ZIPbXGltM3KvMhWoYb,i dont care,Lartiste,album,francoton,1425649.0,False,QUARTIER LATIN VOL.1,2019-02-01,1,18,0.773,0.6890000000000001,6,-5.46,1,0.109,0.238,0.0,0.293,0.6779999999999999,125.102,188684,4,indie,652.0
6964,https://open.spotify.com/track/0ux4fICL5hRYE2o67PItqo,code illimité,Lartiste - Sofiane,album,francoton,1425649.0,True,QUARTIER LATIN VOL.1,2019-02-01,4,18,0.7659999999999999,0.871,6,-4.377,0,0.335,0.238,0.0,0.254,0.444,139.99,150782,4,indie,652.0
6965,https://open.spotify.com/track/6bRBaUZGDGLb0CL6OV9ZJr,comme un refrain,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,15,15,0.794,0.378,4,-10.222,0,0.0593,0.83,3.72e-05,0.0868,0.362,138.066,194627,4,trap,659.0
6966,https://open.spotify.com/track/01H1KnKt2I4zufYTOKnR4i,tout était écrit,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,12,15,0.898,0.73,8,-7.421,1,0.264,0.267,0.0,0.134,0.358,84.976,173493,4,trap,659.0
6967,https://open.spotify.com/track/3ilI1gDJ0R2paCtjNo8aMF,jy arrive pas,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,13,13,0.68,0.496,5,-9.889,0,0.112,0.7709999999999999,5.06e-06,0.0928,0.564,140.024,206147,4,indie,652.0
6968,https://open.spotify.com/track/7C7l4I5OZHEO1Vbx8SGJC2,monégasque,PLK,album,french hip hop,565680.0,True,Polak,2018-10-05,10,15,0.722,0.7340000000000001,6,-4.583,1,0.231,0.416,0.0,0.115,0.612,74.883,203553,4,hip hop,771.0
6969,https://open.spotify.com/track/3gwHMr1xbl0p4KtBGqNEnN,douane,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,14,15,0.833,0.6579999999999999,8,-5.996,1,0.192,0.443,0.0,0.104,0.6559999999999999,143.091,195507,4,trap,659.0
6970,https://open.spotify.com/track/56EEPjNVNBxc9GUsROZPwO,orgueilleux,Koba LaD,album,french hip hop,1717053.0,True,VII,2018-09-28,15,15,0.619,0.8029999999999999,8,-3.825,1,0.197,0.125,0.0,0.0952,0.6459999999999999,95.368,199880,3,hip hop,778.0
6971,https://open.spotify.com/track/6U1kPHfp7JE2vwEE691A7e,wakztoubi #1,4Keus,single,francoton,652020.0,True,Wakztoubi #1,2019-01-29,1,1,0.8690000000000001,0.667,1,-7.445,1,0.216,0.24,0.0,0.113,0.6559999999999999,123.961,232773,4,indie,655.0
6972,https://open.spotify.com/track/3k9TCZF4XV55lvukaQHPjd,cactus,Rim'K,album,arabic hip hop,753549.0,True,Mutant,2018-09-21,17,17,0.778,0.75,11,-5.299,1,0.0469,0.101,0.0,0.157,0.6970000000000001,127.017,202268,4,hip hop,785.0
6973,https://open.spotify.com/track/6PTvE2gQraGPgXUGmYhvwV,et je deviens fou,Jul - Ninho,album,francoton,3127974.0,True,La zone en personne,2018-12-07,9,40,0.841,0.8959999999999999,2,-4.289,0,0.251,0.489,2.56e-05,0.0845,0.6559999999999999,119.991,206160,4,indie,708.0
6952,https://open.spotify.com/track/1JH9UT32a7p592voVWkQbv,dune autre manière,DA Uzi - Kaaris,album,francoton,372126.0,True,Mexico,2019-01-18,16,18,0.7120000000000001,0.4920000000000001,9,-8.592,0,0.118,0.496,0.0,0.0917,0.417,140.083,192147,4,indie,666.0
6974,https://open.spotify.com/track/6sG00oroR1oYJiPwRxZkA5,le lendemain de lorage,Lomepal,album,french hip hop,1061070.0,True,Jeannine,2018-12-07,10,17,0.778,0.4370000000000001,2,-8.603,0,0.0432,0.787,1.72e-06,0.0785,0.191,119.871,163627,4,hip hop,708.0
6975,https://open.spotify.com/track/4pr8V9HzQsi8Sv8bAMJ3Nm,vrai 2 vrai,DA Uzi,album,francoton,372126.0,True,Mexico,2019-01-18,12,18,0.882,0.5489999999999999,10,-7.704,0,0.307,0.609,0.0,0.146,0.65,116.079,201747,4,indie,666.0
6976,https://open.spotify.com/track/4ruXQncBxzZmUGSi270LGT,,,,,,,,,,,,,,,,,,,,,,,,,
6977,https://open.spotify.com/track/5CNs3rm8nmxaF5E378knb4,,,,,,,,,,,,,,,,,,,,,,,,,
6978,https://open.spotify.com/track/5KGTKwOePys7aH4o6EzXEP,im still here,Sia,single,australian dance,17732676.0,False,I'm Still Here,2018-10-12,1,1,0.4370000000000001,0.7190000000000001,6,-4.569,0,0.0376,0.00697,3.86e-05,0.0765,0.284,169.976,241910,4,dance/electronic,764.0
6979,https://open.spotify.com/track/6GV3CxFZ2sAjvHS1P62m98,cocorico,Shay,single,francoton,153291.0,True,Cocorico,2019-01-10,1,1,0.949,0.6609999999999999,6,-5.556,0,0.277,0.171,0.0,0.192,0.888,130.067,151485,4,indie,674.0
6980,https://open.spotify.com/track/2auCqTaHVgjmqpsIZlN3oh,superchérie,-M-,album,chanson,283250.0,False,Lettre infinie,2019-01-25,2,13,0.7170000000000001,0.629,7,-9.627,1,0.0306,0.245,0.00416,0.0628,0.7979999999999999,131.94299999999998,223147,4,else,659.0
6981,https://open.spotify.com/track/08pN6wAbyBPopAgLDwvXgR,aieaieouille,Kaaris,single,drill francais,1197042.0,True,Aieaieouille,2019-01-17,1,1,0.846,0.723,5,-3.661,0,0.241,0.43,0.0,0.109,0.547,149.041,197227,4,trap,667.0
6982,https://open.spotify.com/track/17RmvdhJ5NmpiVpBEsusy6,george moula,Heuss L'enfoiré - Koba LaD,single,francoton,910390.0,True,George moula,2019-01-21,1,1,0.512,0.784,1,-4.271,1,0.391,0.599,0.0,0.153,0.596,180.374,140213,3,indie,663.0
6983,https://open.spotify.com/track/7Jt9gt9N8KC4s7gZVyLdyY,lenfoiré,Heuss L'enfoiré,single,francoton,910390.0,True,L'enfoiré,2018-11-30,1,1,0.775,0.628,7,-6.035,1,0.514,0.267,0.0,0.117,0.376,180.10299999999995,252133,4,indie,715.0
6984,https://open.spotify.com/track/3r1Veo87Ex14aHT2KcJNnh,débrouillard,Kaaris,single,drill francais,1197042.0,True,Débrouillard,2018-12-13,1,1,0.872,0.654,1,-5.143,1,0.1639999999999999,0.172,1.25e-05,0.114,0.374,100.012,175480,4,trap,702.0
6985,https://open.spotify.com/track/4E8uQjL58yMXg2Ic6jMpxz,les méchants,Heuss L'enfoiré,single,francoton,910390.0,True,Les méchants,2018-12-14,1,1,0.675,0.626,6,-5.648,0,0.303,0.362,0.0,0.0999,0.512,192.011,192773,4,indie,701.0
6986,https://open.spotify.com/track/1BTbYlGVDXdj7EJKarrYV9,laddition,Heuss L'enfoiré - Vald,single,francoton,910390.0,True,L'addition,2018-10-12,1,1,0.718,0.6859999999999999,8,-6.046,1,0.18,0.115,0.0,0.106,0.24,134.799,230220,4,indie,764.0
6987,https://open.spotify.com/track/1Njp3WBJMGZZYXegLwpqDi,zidane,13 Block,single,french hip hop,392536.0,True,Zidane,2018-12-21,1,1,0.856,0.62,0,-7.0520000000000005,0,0.294,0.17,0.0,0.205,0.351,140.013,208421,4,hip hop,694.0
6989,https://open.spotify.com/track/6mEfSmgEGSQxCghVWTkpMJ,sans nouvelles,KeBlack,single,francoton,775428.0,False,Sans nouvelles,2018-12-18,1,1,0.675,0.617,5,-10.67,0,0.326,0.359,7.42e-05,0.21,0.728,203.963,176471,4,indie,697.0
6991,https://open.spotify.com/track/4bZOVCf1wiNELuCH34rFDl,complètement sonné,KeBlack,album,francoton,775428.0,False,Appartement 105,2018-05-11,5,29,0.81,0.677,0,-5.771,0,0.0672,0.139,0.000889,0.117,0.731,107.019,185613,4,indie,918.0
6992,https://open.spotify.com/track/3FXOz0aBCHxCRB48yGHBB9,cicatrices,DA Uzi,album,francoton,372126.0,True,Mexico,2019-01-18,9,18,0.7879999999999999,0.58,6,-8.032,0,0.25,0.381,0.0,0.0986,0.7,133.963,205787,4,indie,666.0
6990,https://open.spotify.com/track/1CaIDjZVBrr3G3bJXaSbfP,bonita,DA Uzi,album,francoton,372126.0,True,Mexico,2019-01-18,10,18,0.746,0.573,11,-6.533,0,0.314,0.18,0.0,0.0671,0.545,98.053,204400,4,indie,666.0
6993,https://open.spotify.com/track/01eL1T8iCdN5qK6KI3dAce,wey wey wey,DA Uzi,album,francoton,372126.0,True,Mexico,2019-01-18,6,18,0.613,0.7609999999999999,8,-5.369,0,0.387,0.39,1.35e-05,0.14,0.379,134.216,192560,4,indie,666.0
6988,https://open.spotify.com/track/6GzVDBNNPqBa465hLchSvQ,otto,SCH,album,french hip hop,897705.0,True,JVLIVS,2018-10-19,6,17,0.713,0.591,3,-8.376,0,0.119,0.865,0.00136,0.115,0.218,87.01799999999999,289960,4,hip hop,757.0
6994,https://open.spotify.com/track/1xpEzeTQhfrJ9QG7Rh8Idc,dans la tour,DA Uzi,album,francoton,372126.0,True,Mexico,2019-01-18,2,18,0.757,0.696,6,-4.409,0,0.242,0.632,0.0,0.0998,0.315,112.987,221627,4,indie,666.0
6995,https://open.spotify.com/track/6Y4h3C3S6J1l3mlH4IgcZk,vroom vroom,Soolking,album,francoton,1849760.0,True,Fruit du démon,2018-11-02,7,14,0.794,0.872,2,-4.285,1,0.0692,0.265,0.0,0.197,0.524,99.968,177493,4,indie,743.0
6996,https://open.spotify.com/track/46acP0v8r1rd3mXEOpadn4,la loi du talion,DA Uzi - Sadek,album,francoton,372126.0,True,Mexico,2019-01-18,11,18,0.763,0.687,11,-4.686,0,0.241,0.0986,0.0,0.144,0.5660000000000001,109.991,199040,4,indie,666.0
6997,https://open.spotify.com/track/6IujBwfxxglKDXteVyWrTP,overdose,Badjer - Timal - Boumso,single,french hip hop,97100.0,True,Overdose,2019-01-16,1,1,0.769,0.631,2,-8.961,1,0.503,0.45,0.0,0.0833,0.612,149.623,223269,4,hip hop,668.0
